tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100220668	0	live	SPOCK2		SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2	testican-2		6	NC_011470.1	3192570	3198292	plus	12		
59729	Taeniopygia guttata	100220667	0	live	TLN2		talin 2	talin-2		10	NC_011474.1	3896242	4046234	minus	59		
59729	Taeniopygia guttata	100220666	0	live	GALK2		galactokinase 2	N-acetylgalactosamine kinase		10	NC_011474.1	10224101	10270561	plus	10		
59729	Taeniopygia guttata	100220665	0	live	PREX1		phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein		20	NC_011484.1	15344556	15459808	plus	40		
59729	Taeniopygia guttata	100220664	0	live	CX3CR1		C-X3-C motif chemokine receptor 1	CX3C chemokine receptor 1		2	NC_011465.1	63435017	63446378	minus	4		
59729	Taeniopygia guttata	100220662	0	live	TRANK1		tetratricopeptide repeat and ankyrin repeat containing 1	TPR and ankyrin repeat-containing protein 1|lupus brain antigen 1		2	NC_011465.1	67425136	67466217	plus	24		
59729	Taeniopygia guttata	100220661	0	live	F2R		coagulation factor II thrombin receptor	proteinase-activated receptor 1		Z	NC_011493.1	57017034	57025419	minus	2		
59729	Taeniopygia guttata	100220660	0	live	MTHFR		methylenetetrahydrofolate reductase	methylenetetrahydrofolate reductase		21	NC_011485.1	975762	985421	minus	12		
59729	Taeniopygia guttata	100220659	0	live	MAP1B		microtubule associated protein 1B	microtubule-associated protein 1B		Z	NC_011493.1	65906015	65980690	plus	7		
59729	Taeniopygia guttata	100220658	0	live	CLCN6		chloride voltage-gated channel 6	chloride transport protein 6		21	NC_011485.1	983828	1003012	plus	24		
59729	Taeniopygia guttata	100220657	0	live	BDH2		3-hydroxybutyrate dehydrogenase 2	3-hydroxybutyrate dehydrogenase type 2|3-hydroxybutyrate dehydrogenase, type 2		4	NC_011467.1	21598381	21608822	minus	10		
59729	Taeniopygia guttata	100220655	0	live	PIGB		phosphatidylinositol glycan anchor biosynthesis class B	GPI mannosyltransferase 3		10	NC_011474.1	7678577	7686527	minus	12		
59729	Taeniopygia guttata	100220654	0	live	TNFRSF9		TNF receptor superfamily member 9	tumor necrosis factor receptor superfamily member 9		21	NC_011485.1	1831149	1835602	plus	7		
59729	Taeniopygia guttata	100220653	0	live	GTF2B		general transcription factor IIB	transcription initiation factor IIB		8	NC_011472.1	11669675	11698930	plus	8		
59729	Taeniopygia guttata	100220652	0	live	TDO2		tryptophan 2,3-dioxygenase	tryptophan 2,3-dioxygenase		4	NC_011467.1	28675401	28688278	plus	12		
59729	Taeniopygia guttata	100220649	0	live	ETF1		eukaryotic translation termination factor 1	eukaryotic peptide chain release factor subunit 1		13							
59729	Taeniopygia guttata	100220646	0	live	ARAP3		ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	LOW QUALITY PROTEIN: arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3		13							
59729	Taeniopygia guttata	100220643	0	live	TACR3		tachykinin receptor 3	neuromedin-K receptor		4	NC_011467.1	21703407	21740091	minus	5		
59729	Taeniopygia guttata	100220641	0	live	POMGNT2	GTDC2	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2|glycosyltransferase-like domain containing 2		2	NC_011465.1	61530976	61563838	plus	7		
59729	Taeniopygia guttata	100220639	0	live	SYNM		synemin	LOW QUALITY PROTEIN: synemin|desmuslin		10	NC_011474.1	17404065	17423549	plus	7		
59729	Taeniopygia guttata	100220638	0	live	THSD7A		thrombospondin type 1 domain containing 7A	thrombospondin type-1 domain-containing protein 7A		2	NC_011465.1	45832181	46038938	minus	29		
59729	Taeniopygia guttata	100220637	0	live	CFI		complement factor I	complement factor I		4	NC_011467.1	24045705	24059930	minus	12		
59729	Taeniopygia guttata	100220636	0	live	IGFALS		insulin like growth factor binding protein acid labile subunit	insulin-like growth factor-binding protein complex acid labile subunit		14	NC_011478.1	1666906	1669413	minus	2		
59729	Taeniopygia guttata	100220635	0	live	HDAC9		histone deacetylase 9	LOW QUALITY PROTEIN: histone deacetylase 9		2	NC_011465.1	48950514	49238048	plus	29		
59729	Taeniopygia guttata	100220632	0	live	GATB	PET112	glutamyl-tRNA amidotransferase subunit B	LOW QUALITY PROTEIN: glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial|PET112 homolog		4	NC_011467.1	26816297	26858315	minus	13		
59729	Taeniopygia guttata	100220631	0	live	C14H16orf45		chromosome 14 open reading frame, human C16orf45	uncharacterized protein C16orf45 homolog		14	NC_011478.1	7629682	7677024	plus	6		
59729	Taeniopygia guttata	100220630	0	live	POLR1C		RNA polymerase I subunit C	DNA-directed RNA polymerases I and III subunit RPAC1|polymerase (RNA) I polypeptide C, 30kDa		3	NC_011466.1	37011287	37014805	plus	10		
59729	Taeniopygia guttata	100220628	0	live	ASIC5		acid sensing ion channel subunit family member 5	acid-sensing ion channel 5|acid-sensing (proton-gated) ion channel family member 5		4	NC_011467.1	28651580	28672543	minus	10		
59729	Taeniopygia guttata	100220626	0	live	IL20RB		interleukin 20 receptor subunit beta	interleukin-20 receptor subunit beta		14	NC_011478.1	3288298	3298579	minus	7		
59729	Taeniopygia guttata	100220625	0	live	HOXA11		homeobox A11	LOW QUALITY PROTEIN: homeobox protein Hox-A11|Hox A11 variant 1|Hox A11 variant 2		2	NC_011465.1	52641989	52644396	minus	2		
59729	Taeniopygia guttata	100220624	0	live	CPPED1		calcineurin like phosphoesterase domain containing 1	serine/threonine-protein phosphatase CPPED1		14	NC_011478.1	7326645	7368788	plus	5		
59729	Taeniopygia guttata	100220622	0	live	MYPN		myopalladin	myopalladin		6	NC_011470.1	1364671	1405658	plus	19		
59729	Taeniopygia guttata	100220621	0	live	DUS4L		dihydrouridine synthase 4 like	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like		1A	NC_011463.1	13811881	13822076	plus	7		
59729	Taeniopygia guttata	100220620	0	live	WRB		tryptophan rich basic protein	tail-anchored protein insertion receptor WRB		1	NC_011462.1	2140314	2145915	plus	5		
59729	Taeniopygia guttata	100220619	0	live	TGFBR2		transforming growth factor beta receptor 2	TGF-beta receptor type-2		2	NC_011465.1	60123474	60183810	plus	7		
59729	Taeniopygia guttata	100220617	0	live	DNMT1		DNA methyltransferase 1	LOW QUALITY PROTEIN: DNA (cytosine-5)-methyltransferase 1		Un							
59729	Taeniopygia guttata	100220614	0	live	DNAAF4	DYX1C1	dynein axonemal assembly factor 4	dyslexia susceptibility 1 candidate gene 1 protein|dyslexia susceptibility 1 candidate 1		10	NC_011474.1	7644808	7653095	plus	9		
59729	Taeniopygia guttata	100220613	0	live	MOCS3		molybdenum cofactor synthesis 3	LOW QUALITY PROTEIN: adenylyltransferase and sulfurtransferase MOCS3		20	NC_011484.1	14672200	14673966	minus	2		
59729	Taeniopygia guttata	100220611	0	live	NPHP3		nephrocystin 3	LOW QUALITY PROTEIN: nephrocystin-3		2	NC_011465.1	62847367	62886461	minus	30		
59729	Taeniopygia guttata	100220610	0	live	SNX22		sorting nexin 22	sorting nexin-22		10	NC_011474.1	3177675	3180445	plus	4		
59729	Taeniopygia guttata	100220609	0	live	KIAA0895		KIAA0895 ortholog	uncharacterized protein KIAA0895 homolog		2	NC_011465.1	66582888	66599558	minus	6		
59729	Taeniopygia guttata	100220608	0	live	ARHGAP24		Rho GTPase activating protein 24	rho GTPase-activating protein 24		4	NC_011467.1	13334129	13455170	minus	8		
59729	Taeniopygia guttata	100220607	0	live	ANXA2		annexin A2	annexin A2		10	NC_011474.1	4729718	4760406	plus	14		
59729	Taeniopygia guttata	100220606	0	live	PLIN2		perilipin 2	perilipin-2|adipose differentiation-related protein		Z	NC_011493.1	58330576	58342922	plus	9		
59729	Taeniopygia guttata	100220605	0	live	TP73		tumor protein p73	tumor protein p73		21	NC_011485.1	2575885	2600159	minus	14		
59729	Taeniopygia guttata	100220604	0	live	POLR2B		RNA polymerase II subunit B	DNA-directed RNA polymerase II subunit RPB2|polymerase (RNA) II (DNA directed) polypeptide B, 140kDa		4	NC_011467.1	16232230	16249909	plus	25		
59729	Taeniopygia guttata	100220602	0	live	MFSD14A		major facilitator superfamily domain containing 14A	hippocampus abundant transcript 1 protein		8	NC_011472.1	8167856	8184023	minus	12		
59729	Taeniopygia guttata	100220600	0	live	RPL22		ribosomal protein L22	60S ribosomal protein L22		21	NC_011485.1	2220767	2223301	plus	3		
59729	Taeniopygia guttata	100220599	0	live	CNNM4		cyclin and CBS domain divalent metal cation transport mediator 4	metal transporter CNNM4|metal transporter CNNM4-like		Un							
59729	Taeniopygia guttata	100220597	0	live	SQOR	SQRDL	sulfide quinone oxidoreductase	sulfide:quinone oxidoreductase, mitochondrial|sulfide quinone reductase-like		10	NC_011474.1	10492856	10500267	plus	9		
59729	Taeniopygia guttata	100220596	0	live	ARHGAP29		Rho GTPase activating protein 29	rho GTPase-activating protein 29		8	NC_011472.1	9974680	10026883	plus	22		
59729	Taeniopygia guttata	100220594	0	live	AGR2		anterior gradient 2, protein disulphide isomerase family member	anterior gradient protein 2 homolog|anterior gradient 2 homolog|anterior gradient homolog 2		2	NC_011465.1	48233587	48237058	minus	7		
59729	Taeniopygia guttata	100220591	0	live	SLC2A6		solute carrier family 2 member 6	LOW QUALITY PROTEIN: solute carrier family 2, facilitated glucose transporter member 6		17	NC_011481.1	7743400	7747983	minus	10		
59729	Taeniopygia guttata	100220588	0	live	PDSS2		decaprenyl diphosphate synthase subunit 2	decaprenyl-diphosphate synthase subunit 2|prenyl (decaprenyl) diphosphate synthase, subunit 2		3	NC_011466.1	70123934	70236319	plus	8		
59729	Taeniopygia guttata	100220587	0	live	DYNC1LI2		dynein cytoplasmic 1 light intermediate chain 2	cytoplasmic dynein 1 light intermediate chain 2|dynein, cytoplasmic, light intermediate polypeptide 2		11	NC_011475.1	19964067	19995221	plus	13		
59729	Taeniopygia guttata	100220585	0	live	KDELC2		KDEL motif containing 2	KDEL motif-containing protein 2		1	NC_011462.1	74603768	74611587	plus	8		
59729	Taeniopygia guttata	100220584	0	live	WNT7A		Wnt family member 7A	protein Wnt-7a		12	NC_011476.1	793550	829653	plus	4		
59729	Taeniopygia guttata	100220583	0	live	RRAGD		Ras related GTP binding D	ras-related GTP-binding protein D		3	NC_011466.1	77967787	77991851	plus	9		
59729	Taeniopygia guttata	100220581	0	live	SLC37A4		solute carrier family 37 member 4	glucose-6-phosphate translocase		24	NC_011488.1	141684	149043	minus	8		
59729	Taeniopygia guttata	100220578	0	live	UBL3		ubiquitin like 3	ubiquitin-like protein 3		1	NC_011462.1	49954965	50012422	minus	5		
59729	Taeniopygia guttata	100220577	0	live	LARGE1		LARGE xylosyl- and glucuronyltransferase 1	glycosyltransferase-like protein LARGE1		1A	NC_011463.1	52545381	52820803	plus	16		
59729	Taeniopygia guttata	100220576	0	live	YEATS2		YEATS domain containing 2	YEATS domain-containing protein 2		9	NC_011473.1	2393718	2440515	minus	30		
59729	Taeniopygia guttata	100220575	0	live	FNDC3A		fibronectin type III domain containing 3A	fibronectin type-III domain-containing protein 3A		1	NC_011462.1	56250603	56349987	minus	26		
59729	Taeniopygia guttata	100220574	0	live	SOX5		SRY-box 5	transcription factor SOX-5		1A	NC_011463.1	60099189	60560633	plus	18		
59729	Taeniopygia guttata	100220573	0	live	ADAMTS15		ADAM metallopeptidase with thrombospondin type 1 motif 15	A disintegrin and metalloproteinase with thrombospondin motifs 15		24	NC_011488.1	7018192	7036884	minus	9		
59729	Taeniopygia guttata	100220572	0	live	CUL5		cullin 5	cullin-5		1	NC_011462.1	74739513	74771162	minus	19		
59729	Taeniopygia guttata	100220571	0	live	ADSL		adenylosuccinate lyase	adenylosuccinate lyase		1A	NC_011463.1	49665774	49682619	minus	13		
59729	Taeniopygia guttata	100220570	0	live	SLC7A4		solute carrier family 7 member 4	cationic amino acid transporter 4|cationic amino acid transporter 4-like		15	NC_011479.1	14107781	14112701	plus	4		
59729	Taeniopygia guttata	100220569	0	live	SRPRA		SRP receptor alpha subunit	signal recognition particle receptor subunit alpha		24	NC_011488.1	7578905	7584228	plus	13		
59729	Taeniopygia guttata	100220568	0	live	GALR3		galanin receptor 3	galanin receptor type 3		1A	NC_011463.1	50870101	50871934	minus	2		
59729	Taeniopygia guttata	100220567	0	live	SCLY		selenocysteine lyase	selenocysteine lyase		9	NC_011473.1	6852748	6857628	minus	14		
59729	Taeniopygia guttata	100220566	0	live	HMGXB4		HMG-box containing 4	HMG domain-containing protein 4		1A	NC_011463.1	52011513	52024844	minus	12		
59729	Taeniopygia guttata	100220565	0	live	ATP8A2		ATPase phospholipid transporting 8A2	phospholipid-transporting ATPase IB		1	NC_011462.1	48170607	48433954	minus	36		
59729	Taeniopygia guttata	100220563	0	live	PTTG1IP		PTTG1 interacting protein	pituitary tumor-transforming gene 1 protein-interacting protein|pituitary tumor-transforming 1 interacting protein		9	NC_011473.1	4513496	4519447	minus	6		
59729	Taeniopygia guttata	100220562	0	live	TBXAS1		thromboxane A synthase 1	thromboxane-A synthase		1A	NC_011463.1	55672729	55860510	minus	13		
59729	Taeniopygia guttata	100220560	0	live	PFKL		phosphofructokinase, liver type	LOW QUALITY PROTEIN: ATP-dependent 6-phosphofructokinase, liver type|muscle phosphofructokinase		9	NC_011473.1	5267512	5274351	minus	18		
59729	Taeniopygia guttata	100220559	0	live	PKP2		plakophilin 2	plakophilin-2		1A	NC_011463.1	57397191	57439131	minus	15		
59729	Taeniopygia guttata	100220558	0	live	EXOC3		exocyst complex component 3	exocyst complex component 3|Sec6 protein		2	NC_011465.1	94105057	94130269	plus	12		
59729	Taeniopygia guttata	100220556	0	live	AIF1L		allograft inflammatory factor 1 like	allograft inflammatory factor 1-like		17	NC_011481.1	6760931	6768415	plus	4		
59729	Taeniopygia guttata	100220555	0	live	SLC35A1		solute carrier family 35 member A1	CMP-sialic acid transporter		3	NC_011466.1	78759409	78773014	minus	8		
59729	Taeniopygia guttata	100220553	0	live	IRS1		insulin receptor substrate 1	LOW QUALITY PROTEIN: insulin receptor substrate 1		9	NC_011473.1	10424364	10431919	minus	3		
59729	Taeniopygia guttata	100220552	0	live	RNASEH2B		ribonuclease H2 subunit B	ribonuclease H2 subunit B		1	NC_011462.1	55413630	55452632	minus	11		
59729	Taeniopygia guttata	100220551	0	live	COG3		component of oligomeric golgi complex 3	conserved oligomeric Golgi complex subunit 3		1	NC_011462.1	57600004	57630393	minus	23		
59729	Taeniopygia guttata	100220550	0	live	MTRF1		mitochondrial translation release factor 1	peptide chain release factor 1, mitochondrial|mitochondrial translational release factor 1		1	NC_011462.1	59577314	59591153	plus	11		
59729	Taeniopygia guttata	100220549	0	live	WDR11		WD repeat domain 11	WD repeat-containing protein 11|bromodomain and WD repeat domain containing 2		6	NC_011470.1	31091589	31126095	plus	29		
59729	Taeniopygia guttata	100220548	0	live	SPACA9		sperm acrosome associated 9	uncharacterized protein C9orf9 homolog		17	NC_011481.1	7504998	7506161	plus	2		
59729	Taeniopygia guttata	100220547	0	live	FAM96B		family with sequence similarity 96 member B	mitotic spindle-associated MMXD complex subunit MIP18		11	NC_011475.1	19720627	19723466	plus	4		
59729	Taeniopygia guttata	100220546	0	live	CLN5		CLN5, intracellular trafficking protein	ceroid-lipofuscinosis neuronal protein 5|ceroid-lipofuscinosis, neuronal 5		1	NC_011462.1	69985670	69993458	plus	4		
59729	Taeniopygia guttata	100220541	0	live	VMO1		vitelline membrane outer layer 1 homolog	vitelline membrane outer layer protein 1		1	NC_011462.1	75113231	75114940	plus	3		
59729	Taeniopygia guttata	100220537	0	live	PTP4A2		protein tyrosine phosphatase type IVA, member 2	protein tyrosine phosphatase type IVA 2		23							
59729	Taeniopygia guttata	100220536	0	live	GJB7		gap junction protein beta 7	LOW QUALITY PROTEIN: gap junction beta-7 protein		3	NC_011466.1	78835393	78841773	plus	2		
59729	Taeniopygia guttata	100220535	0	live	SESN3		sestrin 3	sestrin-3		1	NC_011462.1	79675135	79692288	plus	9		
59729	Taeniopygia guttata	100220532	0	live	MRPL35		mitochondrial ribosomal protein L35	39S ribosomal protein L35, mitochondrial		4	NC_011467.1	65701473	65703901	plus	4		
59729	Taeniopygia guttata	100220531	0	live	BCO2		beta-carotene oxygenase 2	beta,beta-carotene 9',10'-oxygenase		24	NC_011488.1	1529836	1539493	minus	11		
59729	Taeniopygia guttata	100220529	0	live	XRCC6		X-ray repair cross complementing 6	X-ray repair cross-complementing protein 6		1A	NC_011463.1	49001930	49015731	minus	12		
59729	Taeniopygia guttata	100220526	0	live	ZDHHC20		zinc finger DHHC-type containing 20	probable palmitoyltransferase ZDHHC20		1	NC_011462.1	46625210	46672009	minus	13		
59729	Taeniopygia guttata	100220525	0	live	ELFN2		extracellular leucine rich repeat and fibronectin type III domain containing 2	protein phosphatase 1 regulatory subunit 29		1A	NC_011463.1	51158872	51161799	plus	1		
59729	Taeniopygia guttata	100220524	0	live	PKNOX2		PBX/knotted 1 homeobox 2	homeobox protein PKNOX2		24	NC_011488.1	7200470	7240935	minus	11		
59729	Taeniopygia guttata	100220522	0	live	NUP37		nucleoporin 37	nucleoporin Nup37		1A	NC_011463.1	55342949	55365900	plus	11		
59729	Taeniopygia guttata	100220520	0	live	PCDH17		protocadherin 17	LOW QUALITY PROTEIN: protocadherin-17		1	NC_011462.1	61860389	61946349	plus	5		
59729	Taeniopygia guttata	100220519	0	live	MTMR3		myotubularin related protein 3	LOW QUALITY PROTEIN: myotubularin-related protein 3		15	NC_011479.1	12890839	12972585	plus	20		
59729	Taeniopygia guttata	100220518	0	live	PANX3		pannexin 3	LOW QUALITY PROTEIN: pannexin-3		24	NC_011488.1	7442129	7445212	minus	5		
59729	Taeniopygia guttata	100220517	0	live	GPC5		glypican 5	glypican-5		1	NC_011462.1	42902756	43181040	minus	8		
59729	Taeniopygia guttata	100220515	0	live	GTPBP1		GTP binding protein 1	GTP-binding protein 1		1A	NC_011463.1	50512343	50533602	minus	12		
59729	Taeniopygia guttata	100220514	0	live	HTRA2		HtrA serine peptidase 2	serine protease HTRA2, mitochondrial		Un							
59729	Taeniopygia guttata	100220512	0	live	BOK		BOK, BCL2 family apoptosis regulator	bcl-2-related ovarian killer protein		9	NC_011473.1	4592518	4613940	minus	5		
59729	Taeniopygia guttata	100220511	0	live	TMPRSS6		transmembrane protease, serine 6	transmembrane protease serine 6		1A	NC_011463.1	51306280	51323585	plus	18		
59729	Taeniopygia guttata	100220510	0	live	RFC5		replication factor C subunit 5	replication factor C subunit 5		15							
59729	Taeniopygia guttata	100220507	0	live	SLC6A18		solute carrier family 6 member 18	sodium-dependent neutral amino acid transporter B(0)AT3		2	NC_011465.1	90861359	90885078	plus	12		
59729	Taeniopygia guttata	100220504	0	live	HOXC12		homeobox C12	homeobox protein Hox-C12		Un							
59729	Taeniopygia guttata	100220501	0	live	DPH7	WDR85	diphthamide biosynthesis 7	diphthine methyltransferase|WD repeat domain 85		17	NC_011481.1	1397409	1408825	plus	9		
59729	Taeniopygia guttata	100220500	0	live	VGLL2		vestigial like family member 2	transcription cofactor vestigial-like protein 2|vestigial like 2		3	NC_011466.1	65739540	65745458	minus	4		
59729	Taeniopygia guttata	100220499	0	live	PCCB		propionyl-CoA carboxylase beta subunit	propionyl-CoA carboxylase beta chain, mitochondrial		9	NC_011473.1	6645816	6669530	plus	17		
59729	Taeniopygia guttata	100220498	0	live	SLC39A6		solute carrier family 39 member 6	zinc transporter ZIP6		2	NC_011465.1	93724684	93743391	minus	9		
59729	Taeniopygia guttata	100220497	0	live	KIAA1147		KIAA1147 ortholog	protein LCHN		1A	NC_011463.1	58900141	58911033	plus	10		
59729	Taeniopygia guttata	100220496	0	live	PTGES2		prostaglandin E synthase 2	prostaglandin E synthase 2		17	NC_011481.1	5627923	5634558	plus	8		
59729	Taeniopygia guttata	100220495	0	live	GPR63		G protein-coupled receptor 63	probable G-protein coupled receptor 63		3	NC_011466.1	75018749	75028361	plus	3		
59729	Taeniopygia guttata	100220494	0	live	MOGAT1		monoacylglycerol O-acyltransferase 1	2-acylglycerol O-acyltransferase 1		9	NC_011473.1	8993435	9017570	plus	6		
59729	Taeniopygia guttata	100220492	0	live	MCTP1		multiple C2 and transmembrane domain containing 1	multiple C2 and transmembrane domain-containing protein 1		Z	NC_011493.1	14704087	14916490	minus	23		
59729	Taeniopygia guttata	100220491	0	live	ZNF236		zinc finger protein 236	zinc finger protein 236		2	NC_011465.1	95974946	96047651	minus	33		
59729	Taeniopygia guttata	100220490	0	live	CDK9		cyclin dependent kinase 9	cyclin-dependent kinase 9		17	NC_011481.1	5406381	5410570	minus	5		
59729	Taeniopygia guttata	100220489	0	live	RAB11FIP2		RAB11 family interacting protein 2	rab11 family-interacting protein 2		6	NC_011470.1	29692327	29725038	minus	5		
59729	Taeniopygia guttata	100220487	0	live	KPNA5		karyopherin subunit alpha 5	importin subunit alpha-6		3	NC_011466.1	65916581	65936901	minus	14		
59729	Taeniopygia guttata	100220486	0	live	TACC2		transforming acidic coiled-coil containing protein 2	transforming acidic coiled-coil-containing protein 2		6	NC_011470.1	31645993	31703195	plus	19		
59729	Taeniopygia guttata	100220480	0	live	HNRNPAB		heterogeneous nuclear ribonucleoprotein A/B	heterogeneous nuclear ribonucleoprotein A/B		13	NC_011477.1	8197455	8218933	minus	8		
59729	Taeniopygia guttata	100220479	0	live	MAST3		microtubule associated serine/threonine kinase 3	LOW QUALITY PROTEIN: microtubule-associated serine/threonine-protein kinase 3		28	NC_011492.1	2221636	2249343	minus	30		
59729	Taeniopygia guttata	100220478	0	live	GJA5		gap junction protein alpha 5	gap junction alpha-5 protein|connexin 40		1	NC_011462.1	103329230	103330387	minus	1		
59729	Taeniopygia guttata	100220476	0	live	MIER2		MIER family member 2	mesoderm induction early response protein 2		28	NC_011492.1	2806714	2816254	minus	12		
59729	Taeniopygia guttata	100220474	0	live	C28H19orf25		chromosome 28 open reading frame, human C19orf25	UPF0449 protein C19orf25 homolog		28	NC_011492.1	4068885	4070084	plus	2		
59729	Taeniopygia guttata	100220473	0	live	LIG3		DNA ligase 3	LOW QUALITY PROTEIN: DNA ligase 3		19	NC_011483.1	5693139	5708729	minus	19		
59729	Taeniopygia guttata	100220472	0	live	CNN2		calponin 2	calponin-2		28	NC_011492.1	4360159	4362966	plus	7		
59729	Taeniopygia guttata	100220469	0	live	ADORA2B		adenosine A2b receptor	adenosine receptor A2b		19	NC_011483.1	7926094	7936718	plus	2		
59729	Taeniopygia guttata	100220468	0	live	CRLF1		cytokine receptor like factor 1	cytokine receptor-like factor 1		28	NC_011492.1	4821198	4826933	minus	4		
59729	Taeniopygia guttata	100220467	0	live	TTC33		tetratricopeptide repeat domain 33	tetratricopeptide repeat protein 33		Z	NC_011493.1	43496470	43537545	minus	5		
59729	Taeniopygia guttata	100220466	0	live	TMPRSS15		transmembrane protease, serine 15	enteropeptidase		1	NC_011462.1	110264958	110315849	minus	25		
59729	Taeniopygia guttata	100220465	0	live	THUMPD2		THUMP domain containing 2	THUMP domain-containing protein 2		2	NC_011465.1	156170179	156182571	minus	10		
59729	Taeniopygia guttata	100220461	0	live	BFSP1		beaded filament structural protein 1	filensin		3	NC_011466.1	3725402	3742581	plus	8		
59729	Taeniopygia guttata	100220458	0	live	NDUFS1		NADH:ubiquinone oxidoreductase core subunit S1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial		7	NC_011471.1	20857200	20871606	minus	18		
59729	Taeniopygia guttata	100220457	0	live	ARHGEF39		Rho guanine nucleotide exchange factor 39	rho guanine nucleotide exchange factor 39		Z	NC_011493.1	40006242	40018393	plus	9		
59729	Taeniopygia guttata	100220455	0	live	CHL1		cell adhesion molecule L1 like	neural cell adhesion molecule L1-like protein|cell adhesion molecule with homology to L1CAM (close homolog of L1)		12	NC_011476.1	18752535	18847696	plus	28		
59729	Taeniopygia guttata	100220453	0	live	CASP10		caspase 10	caspase-10		7	NC_011471.1	22111482	22118353	minus	8		
59729	Taeniopygia guttata	100220452	0	live	GIT1		GIT ArfGAP 1	ARF GTPase-activating protein GIT1|G protein-coupled receptor kinase interactor 1		19	NC_011483.1	7481468	7487289	minus	18		
59729	Taeniopygia guttata	100220451	0	live	RUFY3		RUN and FYVE domain containing 3	protein RUFY3		4	NC_011467.1	1795685	1821792	minus	20		
59729	Taeniopygia guttata	100220449	0	live	GRM7		glutamate metabotropic receptor 7	metabotropic glutamate receptor 7		12	NC_011476.1	20628848	20820305	plus	11		
59729	Taeniopygia guttata	100220448	0	live	C9		complement C9	complement component C9		Z	NC_011493.1	42991470	43012301	minus	12		
59729	Taeniopygia guttata	100220445	0	live	DUSP19		dual specificity phosphatase 19	dual specificity protein phosphatase 19		7	NC_011471.1	28633768	28641074	minus	4		
59729	Taeniopygia guttata	100220444	0	live	PPEF2		protein phosphatase with EF-hand domain 2	serine/threonine-protein phosphatase with EF-hands 2		4	NC_011467.1	1882843	1895791	plus	16		
59729	Taeniopygia guttata	100220443	0	live	EMB		embigin	embigin		Z	NC_011493.1	45267115	45313047	minus	9		
59729	Taeniopygia guttata	100220442	0	live	TMEFF2		transmembrane protein with EGF like and two follistatin like domains 2	tomoregulin-2		7	NC_011471.1	25150803	25284635	plus	11		
59729	Taeniopygia guttata	100220438	0	live	HSPB3		heat shock protein family B (small) member 3	heat shock protein beta-3		Z	NC_011493.1	46979666	46980115	plus	1		
59729	Taeniopygia guttata	100220437	0	live	COL3A1		collagen type III alpha 1 chain	collagen alpha-1(III) chain		7	NC_011471.1	26386660	26436053	minus	52		
59729	Taeniopygia guttata	100220436	0	live	BRD8		bromodomain containing 8	bromodomain-containing protein 8		13	NC_011477.1	3349595	3364144	plus	22		
59729	Taeniopygia guttata	100220435	0	live	CAMK2A		calcium/calmodulin dependent protein kinase II alpha	calcium/calmodulin-dependent protein kinase type II subunit alpha		13	NC_011477.1	6831283	6866080	plus	18		
59729	Taeniopygia guttata	100220433	0	live	ZEB2		zinc finger E-box binding homeobox 2	zinc finger E-box-binding homeobox 2		7	NC_011471.1	36137077	36173094	minus	8		
59729	Taeniopygia guttata	100220431	0	live	SLC34A1		solute carrier family 34 member 1	sodium-dependent phosphate transport protein 2A|solute carrier family 34 (sodium phosphate), member 1		13	NC_011477.1	3401412	3405418	plus	13		
59729	Taeniopygia guttata	100220425	0	live	TMEM38A		transmembrane protein 38A	trimeric intracellular cation channel type A		28	NC_011492.1	2571790	2575607	minus	6		
59729	Taeniopygia guttata	100220424	0	live	ARHGEF17		Rho guanine nucleotide exchange factor 17	LOW QUALITY PROTEIN: rho guanine nucleotide exchange factor 17|rho guanine nucleotide exchange factor 17-like		1	NC_011462.1	98878555	98919973	minus	26		
59729	Taeniopygia guttata	100220420	0	live	BAZ1B		bromodomain adjacent to zinc finger domain 1B	tyrosine-protein kinase BAZ1B		19	NC_011483.1	144240	181004	plus	19		
59729	Taeniopygia guttata	100220419	0	live	HDGFL2		HDGF like 2	hepatoma-derived growth factor-related protein 2		28	NC_011492.1	3915114	3922971	minus	13		
59729	Taeniopygia guttata	100220417	0	live	CASTOR2	GATSL2	cytosolic arginine sensor for mTORC1 subunit 2	GATS-like protein 2|GATS protein like 2		19	NC_011483.1	3403060	3525156	minus	9		
59729	Taeniopygia guttata	100220415	0	live	CADM2		cell adhesion molecule 2	cell adhesion molecule 2		1	NC_011462.1	104154399	104358210	minus	11		
